YEAR,SUNACTIVITY,SUNACTIVITY_norm
1700.0,5.0,0.026288117770767616
1701.0,11.0,0.05783385909568875
1702.0,16.0,0.08412197686645637
1703.0,23.0,0.12092534174553103
1704.0,36.0,0.18927444794952683
1705.0,58.0,0.3049421661409043
1706.0,29.0,0.15247108307045215
1707.0,20.0,0.10515247108307046
1708.0,10.0,0.05257623554153523
1709.0,8.0,0.04206098843322818
1710.0,3.0,0.015772870662460567
1711.0,0.0,0.0
1712.0,0.0,0.0
1713.0,2.0,0.010515247108307046
1714.0,11.0,0.05783385909568875
1715.0,27.0,0.14195583596214512
1716.0,47.0,0.24710830704521558
1717.0,63.0,0.3312302839116719
1718.0,60.0,0.3154574132492114
1719.0,39.0,0.20504731861198738
1720.0,28.0,0.14721345951629863
1721.0,26.0,0.1366982124079916
1722.0,22.0,0.1156677181913775
1723.0,11.0,0.05783385909568875
1724.0,21.0,0.11041009463722398
1725.0,40.0,0.21030494216614093
1726.0,78.0,0.41009463722397477
1727.0,122.0,0.6414300736067298
1728.0,103.0,0.5415352260778129
1729.0,73.0,0.38380651945320715
1730.0,47.0,0.24710830704521558
1731.0,35.0,0.1840168243953733
1732.0,11.0,0.05783385909568875
1733.0,5.0,0.026288117770767616
1734.0,16.0,0.08412197686645637
1735.0,34.0,0.17875920084121977
1736.0,70.0,0.3680336487907466
1737.0,81.0,0.42586750788643535
1738.0,111.0,0.583596214511041
1739.0,101.0,0.5310199789695058
1740.0,73.0,0.38380651945320715
1741.0,40.0,0.21030494216614093
1742.0,20.0,0.10515247108307046
1743.0,16.0,0.08412197686645637
1744.0,5.0,0.026288117770767616
1745.0,11.0,0.05783385909568875
1746.0,22.0,0.1156677181913775
1747.0,40.0,0.21030494216614093
1748.0,60.0,0.3154574132492114
1749.0,80.9,0.42534174553102005
1750.0,83.4,0.43848580441640383
1751.0,47.7,0.2507886435331231
1752.0,47.8,0.2513144058885384
1753.0,30.7,0.16140904311251314
1754.0,12.2,0.06414300736067298
1755.0,9.6,0.050473186119873815
1756.0,10.2,0.05362776025236593
1757.0,32.4,0.17034700315457413
1758.0,47.6,0.2502628811777077
1759.0,54.0,0.28391167192429023
1760.0,62.9,0.33070452155625657
1761.0,85.9,0.45162986330178767
1762.0,61.2,0.32176656151419564
1763.0,45.1,0.2371188222923239
1764.0,36.4,0.19137749737118823
1765.0,20.9,0.10988433228180862
1766.0,11.4,0.05993690851735016
1767.0,37.8,0.19873817034700314
1768.0,69.8,0.3669821240799159
1769.0,106.1,0.5578338590956887
